imageurl,name,redirect,area,class,rateon99,rates,sold,Latitude,Longitude,ran
https://mediacdn.99acres.com/media1/20437/13/408753878M-1677087535226.jpg,Tathawade,https://www.99acres.com/property-rates-and-price-trends-in-tathawade-pune-prffid#registry-transaction-prt,North Pune,PREMIUM,"₹6,600/ sq.ft","₹ 9,688 /sq.ft",1K+,18.627597,73.74549,PREMIUM
https://mediacdn.99acres.com/media1/20377/4/407544294M-1676480108780.jpg,Hadapsar,https://www.99acres.com/property-rates-and-price-trends-in-hadapsar-pune-prffid#registry-transaction-prt,East Pune,PREMIUM,"₹8,350/ sq.ft","₹ 9,856 /sq.ft",1K+,18.508934,73.9259102,PREMIUM
https://mediacdn.99acres.com/media1/20369/2/407382782M-1676441157929.jpg,Bavdhan,https://www.99acres.com/property-rates-and-price-trends-in-bavdhan-pune-prffid#registry-transaction-prt,West Pune,MID-SEGMENT,"₹7,850/ sq.ft","₹ 10,659 /sq.ft",1K+,18.513463,73.7698579,MID-SEGMENT
https://mediacdn.99acres.com/media1/20376/4/407524936M-1676469591043.jpg,Charholi,https://www.99acres.com/property-rates-and-price-trends-in-charholi-pune-prffid#registry-transaction-prt,North Pune,MID-SEGMENT,"₹5,850/ sq.ft","₹ 7,021 /sq.ft",1K+,18.6537243,73.9077474,MID-SEGMENT
https://mediacdn.99acres.com/media1/15282/15/305655732M-1625825786048.jpg,Balewadi,https://www.99acres.com/property-rates-and-price-trends-in-balewadi-pune-prffid#registry-transaction-prt,West Pune,PREMIUM,"₹9,350/ sq.ft","₹ 13,030 /sq.ft",1K+,18.5788913,73.7706807,PREMIUM
https://mediacdn.99acres.com/media1/20377/5/407545234M-1676480860596.jpg,Hinjewadi,https://www.99acres.com/property-rates-and-price-trends-in-hinjewadi-pune-prffid#registry-transaction-prt,West Pune,MID-SEGMENT,"₹7,200/ sq.ft","₹ 9,685 /sq.ft",1K+,18.5912716,73.738909,MID-SEGMENT
https://static.99acres.com/images/locationREI/defaultLocality.png,Dudulgaon,https://www.99acres.com/property-rates-and-price-trends-in-dudulgaon-pune-prffid#registry-transaction-prt,North Pune,N/A,,"₹ 6,600 /sq.ft",900+,18.6775132,73.8816001,
https://mediacdn.99acres.com/media1/20752/8/415048172M-1680142639847.jpg,Undri,https://www.99acres.com/property-rates-and-price-trends-in-undri-pune-prffid#registry-transaction-prt,South Pune,MID-SEGMENT,"₹6,300/ sq.ft","₹ 7,376 /sq.ft",900+,18.4566651,73.9095279,MID-SEGMENT
https://mediacdn.99acres.com/media1/20420/2/408402932M-1676959899913.jpg,Mundhwa,https://www.99acres.com/property-rates-and-price-trends-in-mundhwa-pune-prffid#registry-transaction-prt,East Pune,PREMIUM,"₹8,150/ sq.ft","₹ 10,434 /sq.ft",900+,18.5330323,73.933003,PREMIUM
https://static.99acres.com/images/locationREI/defaultLocality.png,Talegaon,https://www.99acres.com/property-rates-and-price-trends-in-tale-gaon-pune-prffid#registry-transaction-prt,North Pune,AFFORDABLE,"₹4,450/ sq.ft","₹ 5,752 /sq.ft",900+,18.7375763,73.6746626,AFFORDABLE
